Asperger综合征	zhengzhuang/aspergerzhz/
伴高血压	zhengzhuang/bgxy/
伴皮膜粘膜出血	zhengzhuang/bpmzmcx/
伴有生动鲜明的恐怖性幻视	zhengzhuang/bysdxmdkbxhs/
瓣膜小叶增厚	zhengzhuang/bmxyzh/
瓣膜增厚	zhengzhuang/bmzh/
膀胱结石	zhengzhuang/bgjs/
包皮粘连	zhengzhuang/bpzl/
宝宝缺乏安全感	zhengzhuang/bbqfaqg/
饱食后胸痛	zhengzhuang/bshxt/
保持睡眠障碍性失眠	zhengzhuang/bcsmzaxsm/
豹纹状眼底	zhengzhuang/bwzyd/
暴发性痛	zhengzhuang/bfxt/
暴力冲动行为	zhengzhuang/blcdxw/
暴力作用后腹痛	zhengzhuang/blzyhft/
暴怒	zhengzhuang/bn/
暴晒后的皮肤损害	zhengzhuang/bshdpfsh/
暴牙	zhengzhuang/by_109/
暴饮暴食	zhengzhuang/bybs/
暴胀的颞浅动脉	zhengzhuang/bzdnqdm/
爆发性水泻	zhengzhuang/bfxsx/
杯状耳	zhengzhuang/bze/
背部长痘	zhengzhuang/bbcd/
背部出现小水泡	zhengzhuang/bbcxxsp/
背部痉挛	zhengzhuang/bbjl/
背部酸痛	zhengzhuang/bbst/
背部有隐约麻痛不适	zhengzhuang/bbyyymtbs/
背脊痛	zhengzhuang/bjt/
背痛	zhengzhuang/bt_120/
被害妄想	zhengzhuang/bhwx/
被迫体位	zhengzhuang/bptw/
奔马律心音	zhengzhuang/bmlxy/
贲门弛缓	zhengzhuang/bmch/
苯丙氨酸代谢障碍	zhengzhuang/bbasdxza/
逼尿肌不稳定	zhengzhuang/bnjbwd/
逼尿肌反射亢进	zhengzhuang/bnjfskj/
逼尿肌无反射	zhengzhuang/bnjwfs/
鼻部结核	zhengzhuang/bbjh/
鼻臭症	zhengzhuang/bcz/
鼻出血	zhengzhuang/bcx/
鼻唇沟变浅	zhengzhuang/bcgbq/
鼻唇沟发红皲裂	zhengzhuang/bcgfhjl/
鼻唇沟加深	zhengzhuang/bcgjs/
鼻窦气压伤	zhengzhuang/bdqys/
鼻窦压痛	zhengzhuang/bdyt/
鼻端出火	zhengzhuang/bdch/
鼻端肥大	zhengzhuang/bdfd/
鼻端弥漫性潮红	zhengzhuang/bdmmxch/
鼻端缺损	zhengzhuang/bdqs/
鼻端形态不佳	zhengzhuang/bdxtbj/
鼻分泌物增多	zhengzhuang/bfmwzd/
鼻干	zhengzhuang/bg/
鼻干	zhengzhuang/bg_146/
鼻根部水肿	zhengzhuang/bgbsz/
鼻和喉部灼热感	zhengzhuang/bhhbzrg/
鼻甲萎缩	zhengzhuang/bjws/
鼻甲肿胀	zhengzhuang/bjzz/
鼻尖或鼻翼出现带状疱疹	zhengzhuang/bjhbycxdzpz/
鼻尖上翘呈马鞍状	zhengzhuang/bjsqcmaz/
鼻孔闭锁	zhengzhuang/bkbs/
鼻孔朝天或鼻孔前倾	zhengzhuang/bkcthbkqq/
鼻孔干疼	zhengzhuang/bkgt/
鼻孔流脓	zhengzhuang/bkln/
鼻泪管阻塞	zhengzhuang/blgzs/
鼻梁低	zhengzhuang/bld/
鼻梁平塌	zhengzhuang/blpt/
鼻裂	zhengzhuang/bl/
鼻毛脱落	zhengzhuang/bmtl/
鼻内似有擤不出的鼻涕	zhengzhuang/bnsyxbcdbt/
鼻内痛	zhengzhuang/bnt/
鼻黏膜和鼻甲萎缩	zhengzhuang/bnmhbjws/
鼻黏膜可呈颗粒状易碎的结痂	zhengzhuang/bnmkcklzysdjj/
鼻黏膜溃疡	zhengzhuang/bnmky/
鼻脓涕有臭味	zhengzhuang/bntycw/
鼻衂	zhengzhuang/bn_170/
鼻衄	zhengzhuang/bn_171/
鼻旁窦发育不良	zhengzhuang/bpdfybl/
鼻前庭部发痒	zhengzhuang/bqtbfy/
鼻前庭囊肿	zhengzhuang/bqtnz/
鼻前庭皮肤红肿疼痛	zhengzhuang/bqtpfhztt/
鼻腔不能关闭引起的鼻音	zhengzhuang/bqbngbyqdby/
鼻腔干燥及结痂	zhengzhuang/bqgzjjj/
鼻腔前部出血	zhengzhuang/bqqbcx/
鼻腔中后部出血	zhengzhuang/bqzhbcx/
鼻塞	zhengzhuang/bs/
鼻塞及反射性头痛	zhengzhuang/bsjfsxtt/
鼻塞排出脓性或血性分泌物	zhengzhuang/bspcnxhxxfmw/
鼻煽	zhengzhuang/bs_183/
鼻屎多	zhengzhuang/bsd/
鼻外部膨胀隆起	zhengzhuang/bwbpzlq/
鼻咽癌的远处转移	zhengzhuang/byadyczy/
鼻咽腔狭窄	zhengzhuang/byqxz/
鼻咽异物	zhengzhuang/byyw/
鼻痒	zhengzhuang/by_190/
鼻溢液	zhengzhuang/byy/
鼻翼边缘缺损	zhengzhuang/bybyqs/
鼻翼厚	zhengzhuang/byh/
鼻翼两侧脱皮	zhengzhuang/bylctp/
鼻翼扇动	zhengzhuang/bysd/
鼻翼上方缺损	zhengzhuang/bysfqs/
鼻粘膜苍白水肿	zhengzhuang/bzmcbsz/
鼻粘膜干燥发痒	zhengzhuang/bzmgzfy/
鼻粘膜溃疡	zhengzhuang/bzmky/
鼻粘膜溃疡和萎缩	zhengzhuang/bzmkyhws/
鼻粘膜肿胀	zhengzhuang/bzmzz/
鼻中隔穿孔	zhengzhuang/bzgck/
鼻中隔或鼻腔内软骨暴露	zhengzhuang/bzghbqnrgbl/
鼻中隔向一侧或两则弯曲	zhengzhuang/bzgxychlzwq/
鼻子发黑	zhengzhuang/bzfh/
鼻子红血丝	zhengzhuang/bzhxs/
鼻子黄色或棕色	zhengzhuang/bzhshzs/
鼻子颜色苍白	zhengzhuang/bzyscb/
吡咯烷及呱啶尿	zhengzhuang/bkwjgdn/
闭经	zhengzhuang/bj_211/
闭经-乳溢-不育三联征	zhengzhuang/bj_ry_byslz/
闭目难立征	zhengzhuang/bmnlz/
闭眼站立不能	zhengzhuang/byzlbn/
闭症	zhengzhuang/bz_216/
蓖麻子便中常见蓖麻子外皮碎屑	zhengzhuang/bmzbzcjbmzwpsx/
臂丛神经受累	zhengzhuang/bcsjsl/
边缘溃疡性角膜炎	zhengzhuang/bykyxjmy/
扁脸	zhengzhuang/bl_221/
扁平骨盆	zhengzhuang/bpgp/
扁平苔癣	zhengzhuang/bptx/
扁平型骨盆	zhengzhuang/bpxgp/
扁平足	zhengzhuang/bpz/
扁桃体变小而坚韧	zhengzhuang/bttbxejr/
扁桃体充血	zhengzhuang/bttcx/
扁桃体充血肥大	zhengzhuang/bttcxfd/
扁桃体肥大	zhengzhuang/bttfd/
扁桃体上有灰色膜	zhengzhuang/bttsyhsm/
扁桃体小或缺如	zhengzhuang/bttxhqr/
便秘	zhengzhuang/bm/
便秘伴腹部包块	zhengzhuang/bmbfbbk/
便秘伴剧烈腹痛	zhengzhuang/bmbjlft/
便稀时经阴道排出	zhengzhuang/bxsjydpc/
便鲜红血呈点滴状或喷射状	zhengzhuang/bxhxcddzhpsz/
扳机指的弹响	zhengzhuang/bjzddx/
抱癖	zhengzhuang/bp/
被动体位	zhengzhuang/bdtw/
被窃或疑病妄想	zhengzhuang/bqhybwx/
鼻孔外露	zhengzhuang/bkwl/
鼻毛变白	zhengzhuang/bmbb/
鼻小柱缺损	zhengzhuang/bxzqs/
鼻子长痘	zhengzhuang/bzcd/
闭孔神经损害	zhengzhuang/bksjsh/
臂痛	zhengzhuang/bt_246/
便血	zhengzhuang/bx/
便血且血与粪便混合	zhengzhuang/bxqxyfbhh/
变应性鼻炎	zhengzhuang/byxby/
变应性咳嗽	zhengzhuang/byxks/
表皮发生钙化	zhengzhuang/bpfsgh/
表皮角化	zhengzhuang/bpjh/
表皮全层坏死及表皮下大疱	zhengzhuang/bpqchsjbpxdp/
表情迟钝	zhengzhuang/bqcd/
表情淡漠	zhengzhuang/bqdm/
表演型人格障碍	zhengzhuang/byxrgza/
髌骨骨裂	zhengzhuang/bggl/
髌骨劳损	zhengzhuang/bgls/
髌骨缺失或发育不良	zhengzhuang/bgqshfybl/
髌骨软化	zhengzhuang/bgrh/
髌骨疼痛	zhengzhuang/bgtt/
髌后捻发音	zhengzhuang/bhnfy/
髌后疼痛	zhengzhuang/bhtt/
髌前空虚感	zhengzhuang/bqkxg/
髌下疼痛	zhengzhuang/bxtt/
髌周指压痛	zhengzhuang/bzzyt/
并指（趾）畸形	zhengzhuang/bz_z_jx/
病毒性腹泻	zhengzhuang/bdxfx/
病理性Q波	zhengzhuang/blxqb/
病理性REM睡眠	zhengzhuang/blxremsm/
病理性赌博	zhengzhuang/blxdb/
病理性发笑和哭喊	zhengzhuang/blxfxhkh/
病理性钙化	zhengzhuang/blxgh/
病理性黄疸	zhengzhuang/blxhd/
病理性近视	zhengzhuang/blxjs/
病理性神经损伤	zhengzhuang/blxsjss/
病理性听觉适应	zhengzhuang/blxtjsy/
病理性偷窃	zhengzhuang/blxtq/
病理性脱发	zhengzhuang/blxtf/
病理性赘述	zhengzhuang/blxzs/
病理性纵火	zhengzhuang/blxzh/
病理性醉酒	zhengzhuang/blxzj/
病态欣快感	zhengzhuang/btxkg/
波动性听力减退	zhengzhuang/bdxtljt/
玻璃体经瞳孔向前房凸出	zhengzhuang/bltjtkxqftc/
玻璃体内可见球形囊体	zhengzhuang/bltnkjqxnt/
玻璃体有血迹	zhengzhuang/bltyxj/
剥夺性弱视	zhengzhuang/bdxrs/
剥脱性皮炎	zhengzhuang/btxpy/
脖子扭痛	zhengzhuang/bznt/
搏动性耳鸣	zhengzhuang/bdxem/
搏动性头痛	zhengzhuang/bdxtt/
捕蝇舌征	zhengzhuang/bysz/
不典型胸痛	zhengzhuang/bdxxt/
不典型增生	zhengzhuang/bdxzs/
不断眨眼	zhengzhuang/bdzy/
不规则热	zhengzhuang/bgzr/
不可克制的饮酒冲动	zhengzhuang/bkkzdyjcd/
不良建筑综合征	zhengzhuang/bljzzhz/
不良睡眠卫生	zhengzhuang/blsmws/
不明原因发热	zhengzhuang/bmyyfr/
不能持续睁眼	zhengzhuang/bncxzy/
不能露齿及突唇	zhengzhuang/bnlcjtc/
不能屈膝	zhengzhuang/bnqx/
不能伸展拇指	zhengzhuang/bnszmz/
不能向尺侧屈腕及屈环小指远侧指关节	zhengzhuang/bnxccqwjqhxzyczgj/
不能眨眼	zhengzhuang/bnzy/
不能转颈	zhengzhuang/bnzj/
不宁腿综合征	zhengzhuang/bntzhz/
不排卵	zhengzhuang/bpl/
不排胎便	zhengzhuang/bptb/
不偏向一侧，无旋转的眩晕	zhengzhuang/bpxyc_wxzdxy/
不全流产	zhengzhuang/bqlc/
不完全性房内阻滞	zhengzhuang/bwqxfnzz/
不稳定性心绞痛	zhengzhuang/bwdxxjt/
不协调性兴奋	zhengzhuang/bxdxxf/
不真实感	zhengzhuang/bzsg/
不自主运动	zhengzhuang/bzzyd/
步态不稳	zhengzhuang/btbw/
步态异常	zhengzhuang/btyc/
部位不定的疼痛	zhengzhuang/bwbddtt/
黑色鼻涕	zhengzhuang/hsbt/
脾气变坏	zhengzhuang/pqbh/
偏侧不注意	zhengzhuang/pcbzy/
CO2潴留	zhengzhuang/co2zl/
侧脑室增宽	zhengzhuang/cnszk/
侧支循环发育不充	zhengzhuang/czxhfybc/
层状鱼鳞癣	zhengzhuang/czylx/
岔气	zhengzhuang/cq/
产道扁平型狭窄	zhengzhuang/cdbpxxz/
产道血肿	zhengzhuang/cdxz/
产后便秘	zhengzhuang/chbm/
产后出血	zhengzhuang/chcx/
产后大便失禁	zhengzhuang/chdbsj/
产后乳房萎缩	zhengzhuang/chrfws/
产后无乳汁分泌	zhengzhuang/chwrzfm/
产后下腹坠痛或阴道坠胀感	zhengzhuang/chxfzthydzzg/
产后小便频数或小便失禁	zhengzhuang/chxbpshxbsj/
产后小腹坠痛	zhengzhuang/chxfzt/
产后胸部下垂	zhengzhuang/chxbxc/
产后血气痛	zhengzhuang/chxqt/
产后血晕	zhengzhuang/chxy/
产后抑郁	zhengzhuang/chyy/
产后月经不再来潮	zhengzhuang/chyjbzlc/
产后子宫收缩	zhengzhuang/chzgss/
产后自汗盗汗	zhengzhuang/chzhdh/
产力异常	zhengzhuang/clyc/
产褥感染	zhengzhuang/crgr/
产褥期恶露	zhengzhuang/crqel/
产褥期幻觉妄想状态	zhengzhuang/crqhjwxzt/
产褥期躁狂状态	zhengzhuang/crqzkzt/
产褥期谵妄状态	zhengzhuang/crqzwzt/
产育过多后腰痛	zhengzhuang/cygdhyt/
颤抖	zhengzhuang/cd/
长段升主动脉发育不全	zhengzhuang/cdszdmfybq/
长骨粗大	zhengzhuang/cgcd/
长骨骨骺端钙化不全	zhengzhuang/cgghdghbq/
长骨肿胀疼痛	zhengzhuang/cgzztt/
长脉	zhengzhuang/cm/
长期的盆腔疼痛	zhengzhuang/cqdpqtt/
长期使用皮质类固醇导致肌肉病变	zhengzhuang/cqsypzlgcdzjrbb/
长期使用糖皮质激素导致的损害	zhengzhuang/cqsytpzjsdzdsh/
长时间或剧烈运动后前足疼痛	zhengzhuang/csjhjlydhqztt/
长头畸形	zhengzhuang/ctjx/
长头巨脑	zhengzhuang/ctjn/
肠闭锁	zhengzhuang/cbs/
肠壁坏死	zhengzhuang/cbhs/
肠壁水肿增厚	zhengzhuang/cbszzh/
盲肠阿米巴肉芽肿	zhengzhuang/mcambryz/
肠出血	zhengzhuang/ccx/
肠穿孔	zhengzhuang/cck/
肠道功能紊乱	zhengzhuang/cdgnwl/
肠道蛔虫感染	zhengzhuang/cdhcgr/
肠道吸收水分增加	zhengzhuang/cdxssfzj/
肠道血管畸形	zhengzhuang/cdxgjx/
肠道张力减低	zhengzhuang/cdzljd/
肠道转运障碍	zhengzhuang/cdzyza/
肠梗死	zhengzhuang/cgs/
肠管变形	zhengzhuang/cgbx/
肠管出血	zhengzhuang/cgcx/
肠痉挛	zhengzhuang/cjl/
肠麻痹	zhengzhuang/cmb/
肠麻痹软瘫	zhengzhuang/cmbrt/
肠鸣	zhengzhuang/cm_384/
肠鸣音消失	zhengzhuang/cmyxs/
肠囊性积气	zhengzhuang/cnxjq/
肠绒毛萎缩	zhengzhuang/crmws/
肠蠕动减慢	zhengzhuang/crdjm/
肠蠕动减少	zhengzhuang/crdjs/
肠套叠	zhengzhuang/ctd/
肠外结核	zhengzhuang/cwjh/
肠系膜囊肿	zhengzhuang/cxmnz/
肠狭窄	zhengzhuang/cxz/
肠易激综合征	zhengzhuang/cyjzhz/
肠壅积	zhengzhuang/cyj/
肠粘连	zhengzhuang/czl/
肠粘膜脱落	zhengzhuang/czmtl/
肠粘膜有坏死溃疡	zhengzhuang/czmyhsky/
肠胀气	zhengzhuang/czq/
常染色体畸变	zhengzhuang/crstjb/
场所恐惧	zhengzhuang/cskj/
超雌	zhengzhuang/cc/
超量饮酒后两下肢突然出现痉挛和疼痛	zhengzhuang/clyjhlxztrcxjlhtt/
超雄	zhengzhuang/cx/
潮汗	zhengzhuang/ch/
潮红潮热	zhengzhuang/chcr/
潮式呼吸	zhengzhuang/cshx/
晨僵	zhengzhuang/cj/
晨起肥皮肿	zhengzhuang/cqfpz/
晨起前额疼，午后减轻	zhengzhuang/cqqet_whjq/
晨起时颈背部弥漫性剧痛	zhengzhuang/cqsjbbmmxjt/
成年后的容貌仍似儿童	zhengzhuang/cnhdrmrset/
成人多动症	zhengzhuang/crddz/
成人生长激素分泌不足	zhengzhuang/crscjsfmbz/
成瘾	zhengzhuang/cy_415/
呈红色条索，游走的浅静脉	zhengzhuang/chsts_yzdqjm/
呈开口状态而不能闭合	zhengzhuang/ckkztebnbh/
呈马蜂螫型游走性水肿	zhengzhuang/cmfsxyzxsz/
呈泡沫样有腥臭味稀便	zhengzhuang/cpmyyxcwxb/
呈肾上腺素能依赖性	zhengzhuang/cssxsnylx/
痴呆	zhengzhuang/cd_421/
痴呆面容	zhengzhuang/cdmr/
痴笑	zhengzhuang/cx_423/
弛张热	zhengzhuang/czr/
迟脉	zhengzhuang/cm_425/
持物不稳	zhengzhuang/cwbw/
持续的肌肉收缩	zhengzhuang/cxdjrss/
持续低烧	zhengzhuang/cxds/
持续发烧	zhengzhuang/cxfs/
持续高烧	zhengzhuang/cxgs/
持续颅内杂音	zhengzhuang/cxlnzy/
持续性肠绞痛	zhengzhuang/cxxcjt/
持续性弛张热	zhengzhuang/cxxczr/
持续性发热	zhengzhuang/cxxfr/
持续性剧烈的肩痛	zhengzhuang/cxxjldjt/
持续性咳嗽	zhengzhuang/cxxks/
持续性尿蛋白	zhengzhuang/cxxndb/
持续性疼痛	zhengzhuang/cxxtt/
持续性头晕	zhengzhuang/cxxty/
持续性下腹疼痛	zhengzhuang/cxxxftt/
持续性胸部疼痛或模糊的背部疼痛	zhengzhuang/cxxxbtthmhdbbtt/
持续性腰痛伴有晨僵	zhengzhuang/cxxytbycj/
尺动脉或桡动脉搏动减弱和消失	zhengzhuang/cdmhrdmbdjrhxs/
齿轮样强直	zhengzhuang/clyqz/
齿龈出血	zhengzhuang/cycx/
齿龈肥厚	zhengzhuang/cyfh/
齿龈铅线	zhengzhuang/cyqx/
齿龈炎	zhengzhuang/cyy/
齿龈有蓝线	zhengzhuang/cyylx/
齿龈增生	zhengzhuang/cyzs/
齿龈肿胀	zhengzhuang/cyzz/
耻骨联合分离	zhengzhuang/cglhfl/
耻骨上痛	zhengzhuang/cgst/
耻骨直肠肌痉挛性肥大	zhengzhuang/cgzcjjlxfd/
耻区肿块	zhengzhuang/cqzk/
充血	zhengzhuang/cx_456/
冲动毁物	zhengzhuang/cdhw/
冲动型人格障碍	zhengzhuang/cdxrgza/
抽搐	zhengzhuang/cc_459/
抽动障碍	zhengzhuang/cdza/
抽风	zhengzhuang/cf/
抽筋	zhengzhuang/cj_462/
臭汗	zhengzhuang/ch_463/
出汗减少	zhengzhuang/chjs/
出汗异常	zhengzhuang/chyc/
出冷汗	zhengzhuang/clh/
出生后“四凹征”	zhengzhuang/csh_saz_/
出生后即有持续青紫	zhengzhuang/cshjycxqz/
出生时小头	zhengzhuang/cssxt/
出现毒性颗粒	zhengzhuang/cxdxkl/
出现喉结	zhengzhuang/cxhj/
出血利坏死	zhengzhuang/cxlhs/
出血倾向	zhengzhuang/cxqx/
出血性梗死	zhengzhuang/cxxgs/
出血性丘疹	zhengzhuang/cxxqz/
初生婴儿即出现侏儒状态	zhengzhuang/csyejcxzrzt/
处女膜无孔	zhengzhuang/cnmwk/
触觉失调	zhengzhuang/cjsd/
触诊无肺动脉关闭感	zhengzhuang/czwfdmgbg/
川字纹	zhengzhuang/czw/
穿透性皮肤变性	zhengzhuang/ctxpfbx/
穿凿样改变颅骨破坏	zhengzhuang/czygblgph/
传导性耳聋	zhengzhuang/cdxel/
传导性耳鸣	zhengzhuang/cdxem/
传导性腹痛	zhengzhuang/cdxft/
传导阻滞	zhengzhuang/cdzz/
喘息	zhengzhuang/cx_487/
串珠肋	zhengzhuang/czl_488/
创伤	zhengzhuang/cs/
创伤性宫腔粘连	zhengzhuang/csxgqzl/
垂体功能减退	zhengzhuang/ctgnjt/
垂体功能紊乱	zhengzhuang/ctgnwl/
垂体切除术后昏迷	zhengzhuang/ctqcshhm/
垂体危象	zhengzhuang/ctwx/
垂体性闭经	zhengzhuang/ctxbj/
垂腕	zhengzhuang/cw/
垂直性忽略症	zhengzhuang/czxhlz/
唇部发绀	zhengzhuang/cbfg/
唇腭裂	zhengzhuang/cel/
唇干裂	zhengzhuang/cgl/
唇干舌燥	zhengzhuang/cgsz/
唇红干燥	zhengzhuang/chgz/
唇厚舌大	zhengzhuang/chsd/
唇角脱屑	zhengzhuang/cjtx/
唇上长有小水泡	zhengzhuang/cscyxsp/
唇水疱	zhengzhuang/csp/
唇外翻	zhengzhuang/cwf/
唇圆或椭圆形红斑	zhengzhuang/cyhtyxhb/
唇周边长痘	zhengzhuang/czbcd/
唇皱褶增多畸形	zhengzhuang/czzzdjx/
雌激素不足	zhengzhuang/cjsbz/
腠理不固	zhengzhuang/clbg/
促甲状腺激素释放激素缺乏	zhengzhuang/cjzxjssfjsqf/
促脉	zhengzhuang/cm_514/
猝倒	zhengzhuang/cd_515/
猝死	zhengzhuang/cs_516/
脆性X综合征	zhengzhuang/cxxzhz/
搓手顿足	zhengzhuang/csdz/
痤疮样皮疹	zhengzhuang/ccypz/
重听	zhengzhuang/zt/
“淡漠型”甲亢	zhengzhuang/_dmx_jk/
“冻僵”现象	zhengzhuang/_dj_xx/
“多音律”心音	zhengzhuang/_dyl_xy/
肠淤滞	zhengzhuang/cyz/
搭肩试验阳性	zhengzhuang/djsyyx/
打嗝	zhengzhuang/dg/
打哈欠	zhengzhuang/dhq/
打鼾	zhengzhuang/dh/
打呼噜	zhengzhuang/dhl/
打喷嚏	zhengzhuang/dpt/
打软腿	zhengzhuang/drt/
大便变细形似铅笔	zhengzhuang/dbbxxsqb/
大便呈褐色	zhengzhuang/dbchs/
大便干结呈算盘珠状	zhengzhuang/dbgjcspzz/
大便色浅	zhengzhuang/dbsq/
大便习惯改变	zhengzhuang/dbxggb/
大便粘腻	zhengzhuang/dbzn/
大肠黑变	zhengzhuang/dchb/
大动脉错位	zhengzhuang/ddmcw/
大动脉供血障碍	zhengzhuang/ddmgxza/
大角膜	zhengzhuang/djm/
大块肝细胞坏死	zhengzhuang/dkgxbhs/
大量皮肤脱屑	zhengzhuang/dlpftx/
大量饮酒后突然视力减退	zhengzhuang/dlyjhtrsljt/
大脑发育障碍	zhengzhuang/dnfyza/
大疱（含脓性液体）	zhengzhuang/dp_hnxyt_/
大三阳	zhengzhuang/dsy/
大腿刺痛	zhengzhuang/dtct/
大腿肌肉萎缩	zhengzhuang/dtjrws/
大腿局部肿胀变形	zhengzhuang/dtjbzzbx/
大腿内侧红斑	zhengzhuang/dtnchb/
大腿外侧痛	zhengzhuang/dtwct/
大腿以下或膝以下肌肉瘫痪	zhengzhuang/dtyxhxyxjrth/
大小便失禁	zhengzhuang/dxbsj/
大小便潴留	zhengzhuang/dxbzl/
大写症	zhengzhuang/dxz/
大阴唇或肛门大小不等、质软无压痛包块	zhengzhuang/dychgmdxbd_zrwytbk/
大转子叩痛	zhengzhuang/dzzkt/
呆滞	zhengzhuang/dz/
代偿性腰椎前凸	zhengzhuang/dcxyzqt/
代偿作用	zhengzhuang/dczy/
代脉	zhengzhuang/dm/
代谢性低钾	zhengzhuang/dxxdj/
代谢性碱中毒	zhengzhuang/dxxjzd/
代谢性酸中毒	zhengzhuang/dxxszd/
带血性分泌物	zhengzhuang/dxxfmw/
带血粘脓鼻涕	zhengzhuang/dxznbt/
带状疱疹样外观	zhengzhuang/dzpzywg/
丹毒	zhengzhuang/dd/
丹毒样外观	zhengzhuang/ddywg/
单侧鼻腔阻塞	zhengzhuang/dcbqzs/
单侧及假性手足徐动	zhengzhuang/dcjjxszxd/
单侧面部萎缩	zhengzhuang/dcmbws/
单侧头痛	zhengzhuang/dctt/
单侧眼底出现肉芽肿性改变	zhengzhuang/dcydcxryzxgb/
单纯骨折	zhengzhuang/dcgz/
单纯性上半身消瘦型	zhengzhuang/dcxsbsxsx/
单纯性晕厥	zhengzhuang/dcxyj/
单纯醉酒	zhengzhuang/dczj/
单次发作抑郁症	zhengzhuang/dcfzyyz/
单发性坚实性结节	zhengzhuang/dfxjsxjj/
单角或双角子宫	zhengzhuang/djhsjzg/
单瘫	zhengzhuang/dt/
单腿半蹲痛	zhengzhuang/dtbdt/
单项ALT升高	zhengzhuang/dxaltsg/
单眼失明	zhengzhuang/dysm/
单眼突然出现一过性黑蒙	zhengzhuang/dytrcxygxhm/
单眼眼前黑影	zhengzhuang/dyyqhy/
胆道闭锁	zhengzhuang/ddbs/
胆道梗阻	zhengzhuang/ddgz/
胆道蛔虫症	zhengzhuang/ddhcz/
胆道运动功能障碍	zhengzhuang/ddydgnza/
胆管断裂	zhengzhuang/dgdl/
胆管梗阻	zhengzhuang/dggz/
胆红素钙结石	zhengzhuang/dhsgjs/
胆红素升高	zhengzhuang/dhssg/
胆碱能危象	zhengzhuang/djnwx/
胆绞痛	zhengzhuang/djt/
胆结石	zhengzhuang/djs/
胆囊壁变薄	zhengzhuang/dnbbb/
