百日咳	brk/
主动脉瓣膜部狭窄	zdmbmbxz/
阵发性室上性心动过速	zfxssxxdgs/
早搏	zb/
主动脉瘤	zdml/
主动脉瓣狭窄	zdmbxz/
主动脉瓣关闭不全	zdmbgbbq/
阵发性室性心动过速	zfxsxxdgs/
中暑衰竭	zssj/
阿米巴肝脓肿	ambgnz/
氨基甲酸酯类农药中毒	ajjszlnyzd/
阿米巴肠病	ambcb/
阿片类药物中毒	aplywzd/
柏-查综合征	b_czhz/
Brenneman综合征	brennemanzhz/
巴瑞特综合征	brtzhz/
半乳糖血症	brtxz/
暴发性肝功能衰竭	bfxggnsj/
鞭虫病	bcb/
布卡综合症	bkzhz/
暴发性肝炎样综合征	bfxgyyzhz/
便秘	bm/
吡唑酮类中毒	bztlzd/
Barrett食管	barrettsg/
贲门失弛缓症	bmschz/
钡中毒	bzd_312/
变形杆菌食物中毒	bxgjswzd/
蓖麻子中毒	bmzzd/
铋中毒	bzd_316/
丙型病毒性肝炎	bxbdxgy/
肠病性肢皮炎综合征	cbxzpyzhz/
肠道菌群失调症	cdjqsdz/
肠扭转综合征	cnzzhz/
肠气肿综合征	cqzzhz/
肠系膜淋巴结结核	cxmlbjjh/
肠系膜上动脉压迫综合征	cxmsdmypzhz/
粗制棉子油中毒	czmzyzd/
肠扭转	cnz/
肠套叠	ctd/
肠间脓肿	cjnz/
残胃癌	cwa/
残窦综合征	cdzhz/
肠易激综合征	cyjzhz/
肠梗阻	cgz/
苍耳中毒	cezd/
肠道病毒所致各系统感染	cdbdszgxtgr/
肠系膜上动脉栓塞	cxmsdmss/
肠道气囊肿症	cdqnzz/
餐后血糖过低症	chxtgdz/
肠结核	cjh/
肠系膜上静脉血栓形成	cxmsjmxsxc/
大网膜扭转	dwmnz/
胆道运动功能障碍综合征	ddydgnzazhz/
胆道张力低下综合征	ddzldxzhz/
胆囊管综合征	dngzhz/
胆石性肠绞塞综合征	dsxcjszhz/
胆汁淤积性黄疸	dzyjxhd/
第五日综合征	dwrzhz/
蛋白丧失胃肠综合征	dbsswczhz/
胆囊-结肠肝曲粘连综合征	dn_jcgqzlzhz/
胆石症	dsz/
胆囊切除术后综合征	dnqcshzhz/
大肠息肉	dcxr/
多发性消化道息肉综合征	dfxxhdxrzhz/
大肠梗阻	dcgz/
胆汁性肝硬化	dzxgyh/
丁型病毒性肝炎	dxbdxgy/
胆汁返流性胃炎	dzflxwy/
胆管癌	dga/
大肠类癌	dcla/
毒蕈中毒	dxzd/
敌鼠中毒	dszd/
大肠癌	dca/
大肠恶性淋巴瘤	dcexlbl/
Ehler-Danlos综合征	ehler_danloszhz/
儿童胰腺功能不全并中性粒细胞减少症综合征	etyxgnbqbzxlxbjszzhz/
儿童腹痛	etft/
呃逆症	enz/
非溃疡消化不良	fkyxhbl/
分流性高胆红素血症综合征	flxgdhsxzzhz/
粪类圆线虫病	flyxcb/
腹肌缺如综合征	fjqrzhz/
腹绞痛综合征	fjtzhz/
腹膜后感染与脓肿	fmhgrynz/
腹膜后间隙出血	fmhjxcx/
腹膜后淋巴结炎	fmhlbjy/
腹膜后腔液体渗病	fmhqytsb/
腹膜后疝	fmhs/
腹膜间皮瘤	fmjpl/
腹腔动脉压迫综合征	fqdmypzhz/
腹型癫痫综合征	fxdxzhz/
腹型偏头痛综合征	fxpttzhz/
腹主动脉血栓形成综合征	fzdmxsxczhz/
腹卒中综合征	fzzzhz/
Felty综合征	feltyzhz/
腹痛	ft/
腹膜炎	fmy/
腹泻	fx/
反流性食管炎	flxsgy/
沙门氏菌属食物中毒	smsjsswzd/
放射性肠炎	fsxcy/
福尔马林中毒	femlzd/
发芽马铃薯中毒	fymlszd/
副溶血性弧菌食物中毒	frxxhjswzd/
非寄生虫性肝囊肿	fjscxgnz/
非酒精性脂肪性肝病	fjjxzfxgb/
非霍乱弧菌感染	fhlhjgr/
肛门闭锁	gmbs/
高锰酸钾中毒	gmsjzd/
肝-甲状腺综合征	g_jzxzhz/
肝纤维化	gxwh/
肝肺综合症	gfzhz/
Gardner综合征	gardnerzhz/
功能性呕吐	gnxot/
肝性脊髓病	gxjsb/
肝炎双重感染	gyszgr/
肝炎后综合征	gyhzhz/
膈膨出和麻痹	gpchmb/
肝性脑病	gxnb/
肝硬化	gyh/
肝脓肿	gnz/
功能性消化不良	gnxxhbl/
钩虫病	gcb/
肝腺瘤	gxl/
肝外胆管损伤	gwdgss/
肝损伤	gss/
肝囊肿	gnz_423/
肝包虫囊肿	gbcnz/
膈下脓肿	gxnz/
肝血管瘤	gxgl/
钩虫性十二指肠炎综合征	gcxsezcyzhz/
膈先天性缺损	gxtxqs/
膈疝	gs/
肛管、直肠、结肠狭窄	gg_zc_jcxz/
膈扑动	gpd/
含亚硝酸盐类植物性食物中毒	hyxsylzwxswzd/
化脓性汗腺炎	hnxhxy/
回盲瓣综合征	hmbzhz/
活动盲肠综合征	hdmczhz/
横膈下结肠嵌入综合征	hgxjcqrzhz/
黄疸	hd/
黑色素斑-胃肠多发性息肉综合征	hssb_wcdfxxrzhz/
蛔虫病	hcb/
霍乱样综合征	hlyzhz/
结、直肠黑变病	j_zchbb/
结肠粪性穿孔	jcfxck/
结肠憩室病	jcqsb/
甲醇中毒	jczd/
局部麻醉药中毒	jbmzyzd/
结核性腹膜炎	jhxfmy/
急性胃扩张	jxwkz/
急性化脓性胆管炎	jxhnxdgy/
急性出血性坏死性肠炎	jxcxxhsxcy/
结肠闭锁	jcbs/
结肠直肠损伤	jczcss/
结核性肠系膜淋巴结炎	jhxcxmlbjy/
结肠扭转	jcnz/
结肠瘘	jcl/
结肠癌	jca/
急性胃粘膜病变	jxwzmbb/
急性腐蚀性胃炎	jxfsxwy/
急性单纯性胃炎	jxdcxwy/
假膜性肠炎	jmxcy/
家族性结肠息肉	jzxjcxr/
急性腹膜炎	jxfmy/
酒精性肝病	jjxgb/
甲型肝炎	jxgy/
急性胃肠炎	jxwcy/
结肠息肉	jcxr/
急性胃炎	jxwy/
急性阑尾炎	jxlwy/
巨膀胱-小结肠-肠蠕动不良综合征	jbg_xjc_crdblzhz/
结缔组织性肠炎	jdzzxcy/
急性腹型-高脂血症综合征	jxfx_gzxzzhz/
Turcot综合征	turcotzhz/
急性结肠假性梗阻综合征	jxjcjxgzzhz/
急性胆囊炎	jxdny/
吉尔伯特综合征	jebtzhz/
结石性胆囊炎	jsxdny/
急性胰腺炎	jxyxy/
结肠损伤	jcss/
可拉明中毒	klmzd/
奎宁中毒	knzd/
克罗恩病	kleb/
α1-抗胰蛋白酶缺乏症	1_kydbmqfz/
溃疡性结肠炎	kyxjcy/
磷中毒	lzd/
轮状病毒所致胃肠炎	lzbdszwcy/
类癌	la/
氯丙嗪类中毒	lbqlzd/
氯喹中毒	lkzd/
淋菌性肛门直肠炎	ljxgmzcy/
阑尾寄生虫病	lwjscb/
轮状病毒性肠炎	lzbdxcy/
良性阵发性腹膜炎综合征	lxzfxfmyzhz/
痢疾后综合症	ljhzhz/
蓝色橡皮泡痣综合症	lsxppzzhz/
老年急性阑尾炎	lnjxlwy/
淋巴结-胆道综合征	lbj_ddzhz/
郎-奥韦综合征	l_awzhz/
旅游者腹泻	lyzfx/
慢性胰腺炎	mxyxy/
Milk-Alkali综合征	milk_alkalizhz/
麦胶性肠病	mjxcb/
慢性溃疡性结肠炎	mxkyxjcy/
弥漫性食管痉挛	mmxsgjl/
慢性胃炎	mxwy/
毛石肠梗阻综合征	mscgzzhz/
盲袢综合征	mpzhz/
尼曼－匹克氏病	nm_pksb/
农药中毒	nyzd/
脑肝肾综合征	ngszhz/
浓缩胆汁综合征	nsdzzhz/
诺沃克类病毒胃肠炎	nwklbdwcy/
粘连性肠梗阻	zlxcgz/
囊性纤维化	nxxwh/
脾破裂	ppl/
葡萄球菌食物中毒	ptqjswzd/
硼酸中毒	pszd/
脾功能亢进	pgnkj/
脾-肝综合征	p_gzhz/
Plummer-Vinson综合征	plummer_vinsonzhz/
贲门癌	bma/
盆底痉挛综合症	pdjlzhz/
强酸、强碱中毒	qs_qjzd/
汽油、煤油中毒	qy_myzd/
汽油中毒	qyzd/
强碱类中毒	qjlzd/
驱蛔灵中毒	qhlzd/
缺血性结肠炎	qxxjcy/
缺血性肝炎	qxxgy/
倾倒综合征	qdzhz/
脐膨出-巨舌-巨大躯体综合征	qpc_js_jdqtzhz/
铅中毒	qzd/
乳头状腺瘤	rtzxl/
热带口炎性腹泻	rdkyxfx/
瑞氏综合症	rszhz/
杀虫脒中毒	scmzd/
砷中毒	szd/
水合氯醛中毒	shlqzd/
四氯化碳中毒	slhtzd/
嗜酸细胞性胃肠炎	ssxbxwcy/
食管异物	sgyw/
十二指肠先天性缺如、闭锁和狭窄	sezcxtxqr_bshxz/
十二指肠血管性压迫综合征	sezcxgxypzhz/
神经性呕吐	sjxot/
食管癌	sga/
上消化道出血	sxhdcx/
十二指肠憩室梗阻性黄疸综合征	sezcqsgzxhdzhz/
十二指肠壅积症	sezcyjz/
神经型食物中毒	sjxswzd/
食物中毒	swzd/
食管失弛缓症	sgschz/
食管憩室	sgqs/
食管破裂	sgpl/
食管平滑肌瘤	sgphjl/
食管瘢痕性狭窄	sgbhxxz/
食管贲门粘膜撕裂综合征	sgbmzmslzhz/
输入袢综合征	srpzhz/
食管损伤	sgss/
石膏综合征	sgzhz/
十二指肠憩室	sezcqs/
十二指肠白点综合征	sezcbdzhz/
神经性肠梗阻综合症	sjxcgzzhz/
杀鼠剂中毒	ssjzd/
锑中毒	tzd/
铁中毒	tzd_593/
嗜酸性细胞胃肠炎	ssxxbwcy/
特发性腹膜后纤维化	tfxfmhxwh/
铊中毒	tzd_597/
糖原累积症	tyljz/
特发性非硬化性门脉高压综合征	tfxfyhxmmgyzhz/
吞气症	tqz/
胃癌	wa/
无机磷中毒	wjlzd/
五氯酚钠中毒	wlfnzd/
胃心综合征	wxzhz/
胃损伤	wss/
胃下垂	wxc/
胃轻瘫综合征	wqtzhz/
胃平滑肌肉瘤	wphjrl/
胃扭转	wnz/
胃空肠输入袢综合征	wkcsrpzhz/
胃节律紊乱综合征	wjlwlzhz/
胃肠道外瘘	wcdwl/
胃、十二指肠溃疡急性穿孔	w_sezckyjxck/
胃、十二指肠溃疡出血	w_sezckycx/
胃肠型食物中毒	wcxswzd/
胃泌素瘤	wmsl/
胃肠食物不耐受症	wcswbnsz/
胃肠道功能紊乱	wcdgnwl/
胃粘膜脱垂症	wzmtcz/
胃切除后胆汁返流性胃炎	wqchdzflxwy/
胃潴留	wzl/
胃病	wb/
无胆色素尿性黄疸综合征	wdssnxhdzhz/
吻合口溃疡	whkky/
Whipple病	whippleb/
胃肠道伴癌综合征	wcdbazhz/
戊型病毒性肝炎	wxbdxgy/
网膜肿瘤	wmzl/
网膜原发性节段性梗死	wmyfxjdxgs/
网膜炎	wmy/
网膜囊肿	wmnz/
伪膜性肠炎	wmxcy/
胃息肉	wxr/
胃良性肿瘤	wlxzl/
小肠损伤	xcss/
小儿时期常见的呕吐	xesqcjdot/
先天性肠闭锁与狭窄	xtxcbsyxz/
先天性肠旋转异常	xtxcxzyc/
蝎子螫伤	xzss/
锌中毒	xzd/
消化性溃疡	xhxky/
先天性胆道闭锁	xtxddbs/
消化道重复畸形	xhdzfjx/
小肠系膜损伤	xcxmss/
新生儿胆红素脑病	xsedhsnb/
先天性肥厚性幽门狭窄	xtxfhxymxz/
小儿厌食症	xeysz/
先天性巨结肠	xtxjjc/
小儿呕吐	xeot/
小儿急性胆囊炎	xejxdny/
小肠瘘	xcl/
细菌性肝脓肿	xjxgnz/
下消化道出血	xxhdcx/
小儿消化性溃疡	xexhxky/
小肠吸收不良综合征	xcxsblzhz/
小儿急性胰腺炎	xejxyxy/
心源性肝硬化	xyxgyh/
新生儿呕吐	xseot/
新生儿肝炎综合征	xsegyzhz/
溴中毒	xzd_664/
血吸虫肠病	xxccb/
吸收不良综合征	xsblzhz/
心血管和血栓栓塞综合征	xxghxssszhz/
消化道出血	xhdcx/
先天性食管闭锁	xtxsgbs/
消化系癌伴血液病综合征	xhxabxybzhz/
先天性梅毒性肝硬化	xtxmdxgyh/
血色病	xsb/
细菌性痢疾	xjxlj/
消化道憩室病	xhdqsb/
先天性直肠肛门畸形	xtxzcgmjx/
小儿先天性巨结肠	xextxjjc/
乙胺嘧啶中毒	yamdzd/
乙酰苯胺类中毒	yxbalzd/
有机氯杀虫剂中毒	yjlscjzd/
幽门梗阻	ymgz/
原发性肝内硬化综合征	yfxgnyhzhz/
胰腺损伤	yxss/
胰腺脑病综合征	yxnbzhz/
胰腺假性囊肿	yxjxnz/
药物性胃病	ywxwb/
原发性胆汁性肝硬化	yfxdzxgyh/
营养不良性肝硬化	yyblxgyh/
药物性肝硬化	ywxgyh/
亚硝酸盐中毒	yxsyzd/
银杏中毒	yxzd/
药物性肝病	ywxgb/
乙肝	yg/
异位ACTH综合征	ywacthzhz/
胰胆汁综合征	ydzzhz/
胰胆管合流异常综合征	ydghlyczhz/
原发性腹膜后肿瘤	yfxfmhzl/
鱼肝中毒	ygzd/
鱼胆中毒	ydzd/
原发性肝癌	yfxga/
真菌性食物中毒	zjxswzd/
真菌中毒症	zjzdz/
直肠损伤	zcss/
脂肪肝	zfg/
致死性肝内胆汁淤积综合征	zsxgndzyjzhz/
Zieve综合征	zievezhz/
肿瘤性息肉	zlxxr/
直肠脱垂	zctc/
紫绀-杵状指-肝病综合征	zg_czz_gbzhz/
早孕反应	zyfy/
自发性食管破裂	zfxsgpl/
卓－艾氏综合征	z_aszhz/
真菌性肠炎	zjxcy/
巴特综合征	btzhz/
成人多囊肾	crdns/
产褥感染	crgr/
常染色体显性多囊肾	crstxxdns/
多囊肾	dns/
等渗性脱水	dsxts/
低渗性脱水	dsxts_725/
低钾血症	djxz/
儿童遗尿症	etynz/
恶性高血压性小动脉性肾硬化	exgxyxxdmxsyh/
非特异性尿道炎	ftyxndy/
非IgA系膜增生性肾炎	figaxmzsxsy/
非淋菌性尿道炎	fljxndy/
高渗性脱水	gsxts/
梗阻性尿路疾病	gzxnljb/
高血压肾病	gxysb/
肝源性肾损害	gyxssh/
高钾血症	gjxz/
间质性膀胱炎	jzxbgy/
急性风湿热肾损害	jxfsrssh/
急性肾盂肾炎	jxsysy/
急性肾功能衰竭	jxsgnsj/
急性肾小管坏死	jxsxghs/
间质性肾炎	jzxsy/
急进性肾炎	jjxsy/
近端(Ⅱ型)肾小管性酸中毒	jd__x_sxgxszd/
急性肾炎	jxsy/
急性肾小管间质性肾炎	jxsxgjzxsy/
急性肾炎综合征	jxsyzhz/
局灶性肾小球硬化症	jzxsxqyhz/
良性高血压性小动脉性肾硬化	lxgxyxxdmxsyh/
流行性出血热	lxxcxr/
狼疮性肾炎	lcxsy/
链球菌感染后的急性肾小球肾炎	lqjgrhdjxsxqsy/
类风湿性关节炎肾损害	lfsxgjyssh/
慢性呼吸衰竭	mxhxsj/
免疫介导性肾脏病	myjdxszb/
慢性肾功能衰竭	mxsgnsj/
膜性肾小球肾炎	mxsxqsy/
慢性肾盂肾炎	mxsysy/
慢性肾炎	mxsy/
尿路真菌感染	nlzjgr/
尿失禁	nsj/
尿道炎	ndy/
尿崩症	nbz/
尿道结石	ndjs/
钠过多	ngd/
尿路感染	nlgr/
膀胱炎	bgy/
膀胱颈挛缩	bgjls/
膀胱癌	bga/
溶血尿毒综合征	rxndzhz/
肾前性肾功能衰竭	sqxsgnsj/
肾结核对侧肾积水	sjhdcsjs/
肾及输尿管重复畸形	sjsngzfjx/
神经源性膀胱	sjyxbg/
输尿管损伤	sngss/
肾发育不全	sfybq/
肾积水	sjs/
肾硬化症	syhz/
肾及输尿管结石	sjsngjs/
肾结核	sjh/
肾病综合征	sbzhz/
肾下垂	sxc/
肾石症	ssz/
肾血管性高血压	sxgxgxy/
双侧先天性肾上腺皮质增生	scxtxssxpzzs/
肾上腺皮质功能减退症	ssxpzgnjtz/
水过多	sgd/
烧伤后急性肾功能衰竭	sshjxsgnsj/
肾脏损伤	szss/
肾动脉粥样栓塞	sdmzyss/
肾囊肿	snz/
肾细胞癌	sxba/
肾盂肾炎	sysy/
肾小管性酸中毒	sxgxszd/
肾动脉闭塞	sdmbs/
蹄铁形肾	ttxs/
特异性肾实质疾病	tyxsszjb/
糖尿病肾病	tnbsb/
微小病变性肾病	wxbbxsb/
血尿	xn/
小儿原发性肾病综合征	xeyfxsbzhz/
小儿尿感	xeng/
小儿慢性肾功能衰竭	xemxsgnsj/
小儿急性肾功能衰竭	xejxsgnsj/
小儿肾小管性酸中毒	xesxgxszd/
婴幼儿阴道炎	yyeydy/
阴茎纤维性海绵体炎	yjxwxhmty/
遗尿症	ynz/
原发性小血管炎性肾损害	yfxxxgyxssh/
原发性IgA肾病	yfxigasb/
隐匿性肾小球肾炎	ynxsxqsy/
中毒性肾病	zdxsb/
紫癜性肾炎	zdxsy/
癌性神经肌病	axsjjb/
阿尔茨海默病	aechmb/
安眠药中毒	amyzd/
阿片中毒	apzd/
臂丛神经痛	bcsjt/
Creutzfeldt-Jakob病	creutzfeldt_jakobb/
痴呆综合征	cdzhz_837/
纯植物神经功能衰竭	czwsjgnsj/
丛集性头痛	cjxtt/
多发性硬化	dfxyh/
动眼、滑车及外展神经疾病	dy_hcjwzsjjb/
多发性神经炎	dfxsjy/
多发性末梢神经炎	dfxmssjy/
短暂性脑缺血发作	dzxnqxfz/
大便失禁	dbsj/
儿童学习能力障碍	etxxnlza/
儿童口吃	etkc/
耳源性脑脓肿	eyxnnz/
风湿性舞蹈病	fsxwdb/
腓总神经损害	fzsjsh/
吩噻嗪类抗精神病药物中毒	fsqlkjsbywzd/
膈肌麻痹	gjmb/
格林－巴利综合征	gl_blzhz/
肝豆状核变性	gdzhbx/
海绵窦血栓	hmdxs/
昏迷	hm/
昏厥	hj/
颈椎病	jzb/
僵人综合征	jrzhz/
急性脊髓炎	jxjsy/
脊髓压迫症	jsypz/
延髓进行性麻痹	ysjxxmb/
结节性硬化病	jjxyhb/
脊髓亚急性联合变性	jsyjxlhbx/
脊髓血管病	jsxgb/
紧张性头痛	jzxtt/
脊神经根炎	jsjgy/
酒精中毒	jjzd/
急性中毒性脑炎	jxzdxny/
老年痴呆	lncd/
雷诺综合征	lnzhz/
老年眩晕	lnxy/
老年性耳聋	lnxel/
淋巴细胞脉络丛脑膜炎	lbxbmlcnmy/
末梢神经炎	mssjy/
慢性进行性舞蹈病	mxjxxwdb/
麻痹性臂丛神经炎	mbxbcsjy/
面神经炎	msjy/
脑出血	ncx/
脑血栓	nxs/
脑肺吸虫病	nfxcb/
脑动脉硬化症	ndmyhz/
脑脓肿	nnz/
脑梗塞	ngs/
脑性瘫痪综合征	nxthzhz/
皮肌炎	pjy/
偏头痛	ptt/
帕金森病	pjsb/
氰化物中毒	qhwzd/
全植物神经功能不全	qzwsjgnbq/
前庭神经炎	qtsjy/
桡神经麻痹	rsjmb/
上矢状窦血栓性静脉炎	sszdxsxjmy/
三环类抗忧郁药中毒	shlkyyyzd/
肾上腺素中毒	ssxszd/
士的宁中毒	sdnzd/
神经系统的放射性损伤	sjxtdfsxss/
手足徐动症	szxdz/
视神经炎	ssjy/
视神经萎缩	ssjws/
神经症	sjz/
Shy-Drager综合征	shy_dragerzhz/
头-面血管瘤综合征	t_mxglzhz/
舌咽神经痛	sysjt/
视束病变	ssbb/
神经鞘瘤	sjql/
神经衰弱	sjsr/
神经梅毒	sjmd/
糖尿病性神经病	tnbxsjb/
头痛	tt/
羰基镍中毒	tjnzd/
位置性眩晕	wzxxy/
小儿结核性脑膜炎	xejhxnmy/
溴氯菊酯中毒	xljzzd/
小舞蹈病	xwdb/
新生儿惊厥	xsejj/
小儿脑瘫	xent/
运动神经元疾病	ydsjyjb/
意识障碍	ysza/
有机磷农药中毒	yjlnyzd/
晕厥	yj/
咽肌麻痹	yjmb/
遗传性共济失调	ycxgjsd/
运动神经元病	ydsjyb/
晕动病	ydb/
咽部神经鞘膜瘤	ybsjqml/
压迫性视神经病变	ypxssjbb/
正中神经损伤	zzsjss/
躁狂症	zkz/
中枢神经兴奋药中毒	zssjxfyzd/
